file,folder,data_shape,times_shape,n_channels,n_samples,time_samples,times_match,time_start,time_end,sampling_rate,contains_nan,nan_count,std_first_channel,other_data_exists
259101C01.mat,259101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,21.968597412109375,True
259101L01.mat,259101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,58.177242279052734,True
259201A01.mat,259201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,19.579999923706055,True
259201C01.mat,259201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,22.54845428466797,True
259201L01.mat,259201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,62.25244903564453,True
259301A01.mat,259301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,42.92238235473633,True
259301C01.mat,259301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,29.200855255126953,True
259301L01.mat,259301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,42.50244140625,True
259401A01.mat,259401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,74.0165786743164,True
259401C01.mat,259401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,75.38819885253906,True
259401L01.mat,259401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,37.275550842285156,True
259501A01.mat,259501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,22.643272399902344,True
259501C01.mat,259501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,21.280370712280273,True
259501L01.mat,259501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,69.7031478881836,True
259601A01.mat,259601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,17.42589569091797,True
