file,channels,labels
2512301L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512401A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512401C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512401L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512501A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512501C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512501L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512601A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512601C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512601L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512701A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512701C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512701L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512801A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512801C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512801L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
251701L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
251801L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
251901L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
252001L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
252101L01.mat,20,"FCz,Cz,CPz,POz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
252601L01.mat,20,"FCz,Cz,CPz,POz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
252801L01.mat,20,"FCz,Cz,CPz,POz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
253101L01.mat,20,"FCz,Cz,CPz,POz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
253201L01.mat,20,"FCz,Cz,CPz,POz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
253501L01.mat,20,"FCz,Cz,CPz,POz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254101A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254101C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254101L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254401A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254401C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254401L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254601C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254601L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254601A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254701A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254701C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254701L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254801A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254801C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254801L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
