window_idx,start_sec,end_sec,n_beats,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50
57,3420.0,3480.0,122,489.900826446281,10.204088199244527,5.224940191045253,0.0
58,3480.0,3540.0,125,480.0806451612903,15.732311928155159,5.843487097907776,0.0
59,3540.0,3600.0,124,483.219512195122,10.674419080723581,5.671325632180673,0.0
60,3600.0,3660.0,135,443.8059701492537,40.4841893601623,56.971170654237795,9.701492537313433
61,3660.0,3720.0,127,475.5238095238095,92.5038130488221,103.54654991838213,3.1746031746031744
62,3720.0,3780.0,127,472.04761904761904,12.20220120657393,5.802068596629999,0.0
63,3780.0,3840.0,122,487.20661157024796,127.37097506597097,147.13134721511025,25.6198347107438
64,3840.0,3900.0,132,456.80916030534354,165.7879607071736,189.3759793069373,25.954198473282442
65,3900.0,3960.0,133,451.1666666666667,44.080455011205494,54.49252347344374,3.787878787878788
66,3960.0,4020.0,127,469.8253968253968,21.014311072249548,7.532330316708103,0.0
67,4020.0,4080.0,122,494.31404958677683,19.50727772646713,6.306081720582652,0.0
68,4080.0,4140.0,116,517.1652173913044,26.97234790461176,14.264420219922236,0.8695652173913043
69,4140.0,4200.0,118,508.34188034188037,24.5206325483615,10.260402627039815,0.0
70,4200.0,4260.0,118,507.86324786324786,14.651648126020628,6.504640253510274,0.0
71,4260.0,4320.0,121,495.31666666666666,23.619527362526366,7.367883976130073,0.0
72,4320.0,4380.0,120,499.96638655462186,17.361526124587463,9.155900200121028,0.0
73,4380.0,4440.0,119,503.45762711864404,31.04852669138948,8.704061337139333,0.0
